p_code,p_name,p_day,rev_25,hc_25,rev_26,hc_26,rev_diff,rev_pct,status,pday_bucket
INC2023,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> [동부] 0315 IVY ELITE TOUR",6,43150.0,38.0,0.0,0.0,-43150.0,-100.0,단종(작년만),4박+
INC2036,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0122 인터파크 NBA 농구 ",6,0.0,28.0,0.0,0.0,0.0,0.0,동시운영,4박+
INC2051,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span> [동부] 0123 로고스교회뉴욕시내관광",1,1940.0,6.0,0.0,0.0,-1940.0,-100.0,단종(작년만),당일
INC2058,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0107 투어비스 쇼티켓 16장 ",2,5900.0,3.0,0.0,0.0,-5900.0,-100.0,단종(작년만),1박
INC2061,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>0329 로마 3박4일",4,13494.42,6.0,0.0,0.0,-13494.42,-100.0,단종(작년만),2~3박
INC2063,"<span style=""color:#5d52da;""><strong>[LAS VEGAS SHOW TICKET]</strong></span> 입장권 ",1,23514.48,21.0,240.0,2.0,-23274.48,-98.97935229696766,동시운영,당일
INC2066,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부]25-0125 롯데관광 남미 트랜스퍼",3,0.0,14.0,0.0,0.0,0.0,0.0,동시운영,2~3박
INC2070,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0321 SBDC - VIETNAM TRAVEL MISSION",10,136415.28,16.0,0.0,0.0,-136415.28,-100.0,단종(작년만),4박+
INC2073,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0220 대구아메리카 서울예고",4,0.0,30.0,0.0,0.0,0.0,0.0,동시운영,2~3박
INC2076,"<span style=""color:#5d52da;""><strong>[인센티브]</strong></span>[서부] 25-0316 대구아메리카 NVDIA 컨벤션 ",6,0.0,1.0,0.0,0.0,0.0,0.0,동시운영,4박+
